period,word,positive_count,negative_count,positive_rate,negative_rate,log_odds,total_count,sentiment
2009-W15,thanks,506,71,0.005884405163391092,0.0012024930560260146,1.6367475114537662,577,positive
2009-W15,cool,151,21,0.0017560181416443772,0.00035566696023304654,1.6284963525693774,172,positive
2009-W15,thank,192,28,0.0022328177695080825,0.00047422261364406205,1.5864790884930793,220,positive
2009-W15,happy,241,41,0.002802651471101291,0.0006943973985502337,1.4377835919878441,282,positive
2009-W15,awesome,164,28,0.0019071985114548203,0.00047422261364406205,1.429004427950277,192,positive
2009-W15,listening,94,16,0.0010931503663216653,0.00027098435065374974,1.4206863287641038,110,positive
2009-W15,glad,161,28,0.0018723107338062565,0.00047422261364406205,1.4105680328254557,189,positive
2009-W15,excited,102,18,0.0011861844400511687,0.00030485739448546845,1.3875929260894457,120,positive
2009-W15,follow,111,20,0.00129084777299686,0.00033873043831718716,1.3691648717612743,131,positive
2009-W15,great,359,68,0.0041749040586114665,0.0011516834902784365,1.3353222599421795,427,positive
2009-W15,good,1038,199,0.012071171066403071,0.0033703678612560127,1.3323357166820093,1237,positive
2009-W15,forward,100,19,0.001162925921618793,0.00032179391640132783,1.3152092188378335,119,positive
2009-W15,nice,263,54,0.0030584951738574255,0.0009145721834564054,1.252501921747088,317,positive
2009-W15,yes,228,47,0.002651471101290848,0.0007960165300453898,1.2471940972097615,275,positive
2009-W15,hello,82,18,0.0009535992557274101,0.00030485739448546845,1.1703221204362224,100,positive
2009-W15,cry,2,34,2.325851843237586e-05,0.0005758417451392182,-2.9504271654318455,36,negative
2009-W15,throat,4,58,4.651703686475172e-05,0.0009823182711198428,-2.891029951598572,62,negative
2009-W15,sick,19,216,0.00022095592510757065,0.003658288733825622,-2.7353606748406474,235,negative
2009-W15,sad,21,238,0.0002442144435399465,0.004030892215974528,-2.7347952464418404,259,negative
2009-W15,hurts,6,67,6.977555529712758e-05,0.001134746968362577,-2.6665139208373008,73,negative
2009-W15,horrible,3,35,3.488777764856379e-05,0.0005927782670550776,-2.6425322697371643,38,negative
2009-W15,snowing,5,53,5.814629608093964e-05,0.000897635661540546,-2.60093245873544,58,negative
2009-W15,headache,6,54,6.977555529712758e-05,0.0009145721834564054,-2.452401393875606,60,negative
2009-W15,poor,13,96,0.00015118036981044306,0.0016259061039224985,-2.293383902596026,109,negative
2009-W15,sore,6,45,6.977555529712758e-05,0.0007621434862136712,-2.2717845247484227,51,negative
2009-W15,italy,4,28,4.651703686475172e-05,0.00047422261364406205,-2.171479012990395,32,negative
2009-W15,ugh,16,99,0.00018606814745900687,0.0016767156696700766,-2.1233397831199143,115,negative
2009-W15,missing,12,68,0.00013955111059425515,0.0011516834902784365,-2.0272460443536486,80,negative
2009-W15,worse,6,34,6.977555529712758e-05,0.0005758417451392182,-1.9948744977401827,40,negative
2009-W15,sigh,6,32,6.977555529712758e-05,0.0005419687013074995,-1.9351267156713394,38,negative
2009-W16,welcome,315,17,0.001500042858367382,0.00011549462270624283,2.5717547891560466,332,positive
2009-W16,thank,579,58,0.0027572216349038546,0.0003940404774683579,1.9738462823940637,637,positive
2009-W16,thanks,1255,133,0.005976361229368458,0.0009035755776429585,1.9244132602398816,1388,positive
2009-W16,excited,263,32,0.0012524167357162587,0.00021740164274116296,1.772291759507893,295,positive
2009-W16,hehe,140,18,0.0006666857148299475,0.00012228842404190418,1.706460842065277,158,positive
2009-W16,happy,680,93,0.0032381877577454593,0.0006318235242165048,1.6658057183744353,773,positive
2009-W16,funny,201,29,0.0009571702048629961,0.00019702023873417894,1.6006240205871052,230,positive
2009-W16,loving,132,19,0.0006285893882682363,0.0001290822253775655,1.5951511843399917,151,positive
2009-W16,hello,172,26,0.0008190710210767926,0.0001766388347271949,1.5523684642920026,198,positive
2009-W16,ha,150,24,0.0007143061230320866,0.00016305123205587223,1.4943216267597625,174,positive
2009-W16,forward,213,35,0.001014314694705563,0.000237783046748147,1.4733453863506778,248,positive
2009-W16,wonderful,120,20,0.0005714448984256693,0.00013587602671322684,1.4501492713385131,140,positive
2009-W16,awesome,538,92,0.002561977961275084,0.0006250297228808435,1.4419009278896455,630,positive
2009-W16,follow,339,59,0.0016143318380525157,0.00040083427880401924,1.4211462006681783,398,positive
2009-W16,bet,98,17,0.00046668000038096324,0.00011549462270624283,1.406701830868223,115,positive
2009-W16,lonely,2,133,9.524081640427822e-06,0.0009035755776429585,-4.300085615187143,135,negative
2009-W16,female,2,66,9.524081640427822e-06,0.0004483908881536486,-3.602781322091486,68,negative
2009-W16,NOT_luck,1,30,4.762040820213911e-06,0.00020381404006984027,-3.3339186426492375,31,negative
2009-W16,died,4,73,1.9048163280855645e-05,0.000495947497503278,-3.1151116411943125,77,negative
2009-W16,ache,2,38,9.524081640427822e-06,0.000258164450755131,-3.0560685095998625,40,negative
2009-W16,upset,5,69,2.3810204101069556e-05,0.00046877229216063266,-2.8584537534895267,74,negative
2009-W16,bummed,5,65,2.3810204101069556e-05,0.00044159708681798727,-2.7991529833536575,70,negative
2009-W16,cancelled,3,41,1.4286122460641733e-05,0.00027854585476211503,-2.794645198300824,44,negative
2009-W16,gutted,2,29,9.524081640427822e-06,0.00019702023873417894,-2.7897461821848104,31,negative
2009-W16,sadly,5,64,2.3810204101069556e-05,0.0004348032854823259,-2.7837620245538,69,negative
2009-W16,hurts,16,184,7.619265312342258e-05,0.001250059445761687,-2.736810874295715,200,negative
2009-W16,sad,59,663,0.00028096040839262074,0.00450429028554347,-2.736785490162278,722,negative
2009-W16,hates,5,58,2.3810204101069556e-05,0.0003940404774683579,-2.6860873159937,63,negative
2009-W16,broke,8,87,3.809632656171129e-05,0.0005910607162025368,-2.653543317648462,95,negative
2009-W16,NOT_feeling,9,94,4.28583673819252e-05,0.0006386173255521662,-2.61931663215643,103,negative
2009-W17,thank,279,26,0.0024769615937782984,0.0003379212643454075,2.023010011803647,305,positive
2009-W17,thanks,703,84,0.006241232976437792,0.001091745623269778,1.7892149074943768,787,positive
2009-W17,check,169,20,0.0015003817539373924,0.0002599394341118519,1.778769070492741,189,positive
2009-W17,follow,172,22,0.001527015749569417,0.0002859333775230371,1.7032246160564997,194,positive
2009-W17,hello,130,18,0.001154139810721071,0.00023394549070066676,1.619654604426632,148,positive
2009-W17,happy,430,61,0.0038175393739235427,0.0007928152740411484,1.6138794276458768,491,positive
2009-W17,sweet,108,16,0.0009588238427528897,0.00020795154728948156,1.5492886767028233,124,positive
2009-W17,blog,112,19,0.0009943358369289227,0.00024694246240625933,1.4184361246137769,131,positive
2009-W17,you're,293,54,0.002601253573394414,0.0007018364721020002,1.3506291870631655,347,positive
2009-W17,hey,281,52,0.002494717590866315,0.000675842528690815,1.3461979590999862,333,positive
2009-W17,cool,222,42,0.001970915676769829,0.000545872811634889,1.3219419795568088,264,positive
2009-W17,amazing,121,23,0.001074237823824997,0.0002989303492286297,1.308838439913834,144,positive
2009-W17,hi,162,31,0.0014382357641293346,0.0004029061228733705,1.3068530548451855,193,positive
2009-W17,excited,109,21,0.000967701841296898,0.0002729364058174445,1.293722767890693,130,positive
2009-W17,glad,185,36,0.0016424297306415242,0.0004678909814013335,1.2920330685486068,221,positive
2009-W17,NOT_looking,1,40,8.877998544008238e-06,0.0005198788682237039,-3.6310585747717505,41,negative
2009-W17,sad,17,252,0.00015092597524814005,0.0032752368698093343,-3.0066699193259527,269,negative
2009-W17,hates,2,30,1.7755997088016477e-05,0.0003899091511677779,-2.8365382542136297,32,negative
2009-W17,NOT_forward,2,29,1.7755997088016477e-05,0.0003769121794621853,-2.8031906910156703,31,negative
2009-W17,sadly,3,39,2.6633995632024715e-05,0.0005068818965181113,-2.7587323276240063,42,negative
2009-W17,NOT_feeling,4,49,3.5511994176032954e-05,0.0006368516135740373,-2.733193374034511,53,negative
2009-W17,hurts,8,83,7.102398835206591e-05,0.0010787486515641855,-2.620425701602702,91,negative
2009-W17,poor,10,101,8.877998544008238e-05,0.0013126941422648523,-2.604513545818329,111,negative
2009-W17,tummy,3,28,2.6633995632024715e-05,0.0003639152077565927,-2.4322131652938364,31,negative
2009-W17,throat,5,41,4.438999272004119e-05,0.0005328758399292965,-2.3561463070419615,46,negative
2009-W17,ugh,15,113,0.00013316997816012358,0.0014686578027319635,-2.3268867939412834,128,negative
2009-W17,ouch,4,28,3.5511994176032954e-05,0.0003639152077565927,-2.1808907667261597,32,negative
2009-W17,sore,7,46,6.214598980805767e-05,0.0005978606984572594,-2.1597900465483564,53,negative
2009-W17,headache,11,70,9.765798398409062e-05,0.0009097880193914818,-2.1487420616878152,81,negative
2009-W17,sick,33,202,0.00029297395195227187,0.0026253882845297047,-2.1359680774449794,235,negative
2009-W18,thank,762,57,0.002654774762219977,0.00028318759936406994,2.262352641909807,819,positive
2009-W18,thanks,1806,181,0.006292025223844197,0.0008992448330683624,1.9782604344802186,1987,positive
2009-W18,hello,214,25,0.0007455666655053479,0.00012420508744038155,1.8055349954982578,239,positive
2009-W18,you'll,138,16,0.0004807859805595234,7.94912559618442e-05,1.8032080611243106,154,positive
2009-W18,enjoy,302,41,0.0010521548270215656,0.00020369634340222575,1.6625047275486002,343,positive
2009-W18,glad,379,54,0.0013204194683482562,0.00026828298887122417,1.616961831188374,433,positive
2009-W18,hehe,211,30,0.0007351147963627495,0.00014904610492845786,1.6123699490653998,241,positive
2009-W18,happy,897,130,0.003125108873636902,0.0006458664546899841,1.6058859324740675,1027,positive
2009-W18,cute,304,45,0.001059122739783298,0.00022356915739268682,1.5770642145309486,349,positive
2009-W18,follow,485,75,0.001689718844720064,0.0003726152623211447,1.5376037903498956,560,positive
2009-W18,loving,132,21,0.00045988224227432674,0.0001043322734499205,1.494186051371316,153,positive
2009-W18,xoxo,98,16,0.00034142772532487893,7.94912559618442e-05,1.4622649100372467,114,positive
2009-W18,yummy,115,19,0.00040065498379960283,9.439586645468999e-05,1.4544663680415972,134,positive
2009-W18,awesome,834,143,0.002905619621642337,0.0007104531001589826,1.4378813014017107,977,positive
2009-W18,wonderful,173,31,0.0006027244538898373,0.00015401430842607313,1.3819342794860896,204,positive
2009-W18,depressing,1,36,3.4839563808661117e-06,0.00017885532591414944,-3.5166815471462023,37,negative
2009-W18,gutted,2,50,6.967912761732223e-06,0.0002484101748807631,-3.330576403809621,52,negative
